,,,,,,,
Source : ici,,,,,,,
Personnages Dom Juan,,Correspondance Matching Paramétré,,,,,
,"""Vraie"" correspondance",Pièce complète,Acte I,Acte II,Acte III,,
DON JUAN,dom Juan d’Alvarade,Dom  Juan,Don Juan,,Don Juan,,"Los personajes son los mismos en ambas piezas: algunos conservan su nombre español afrancesándolo: don Juan de Alvarado será dom Juan d’Alvarade, don Fernando de Rojas será dom Fernand de Rochas y la criada Beatriz será Béatrix; otros cambian de nombre: la dama doña Inés será Isabelle de Rochas, doña Ana será Lucrèce, Don Lope será dom Louis y Bernardo, Étienne. Mención especial merece el caso del “gracioso” (criado de don Juan), 5 Los Actos 1º y 2º corresponden a la Jornada Primera, el 3º Acto a la Jornada Segunda, y el 4º y 5º Acto a la Jornada Tercera. no sólo cambiará de Sancho a Jodelet sino que dará título a la versión francesa"
DON LOPE,dom Louis,Don Louis,Don Louis,Isabelle,Don Fernand,,
SANCHO,Jodelet,Jodelet,Jodelet,Don Juan,Isabelle,,
BERNARDO,Etienne,Etienne,Etienne,Don Fernand,,,
DONA INES,Isabelle,Isabelle,,,Don Louis,,
BEATRIZ,Béatrix,Beatrix,,Don Louis,Lucrèce,,
DON FERNANDO,dom Fernand de Rochas,Don Fernand,,,Jodelet,,
DONA ANA,Lucrèce,Lucrèce,,,Beatrix,,
,/,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,Acte 1,"[('SANCHO', '#jodelet'), ('DON_JUAN', '#don-juan'), ('BERNARDO', '#etienne'), ('DON_LOPE', '#don-louis')]",,,
,,,Acte 2,"[('DON_LOPE', '#isabelle'), ('BERNARDO', '#don-fernand'), ('BEATRIZ', '#don-louis'), ('Personnages_secondaires(8)', '#jodelet'), ('SANCHO', '#don-juan'), ('DOÑA_INÉS', None), ('DON_FERNANDO', None)]",,,
,,,Acte 3,"[('DOÑA_INÉS', '#don-louis'), ('DOÑA_ANA', '#beatrix'), ('DON_LOPE', '#don-fernand'), ('SANCHO', '#isabelle'), ('DON_FERNANDO', '#jodelet'), ('DON_JUAN', '#don-juan'), ('BEATRIZ', '#lucrece')]",,,